id,name,strDrinkAlternate,strCategory,strArea,strMealThumb,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource
52857,Pumpkin Pie,,Dessert,American,https://www.themealdb.com/images/media/meals/usuqtp1511385394.jpg,https://www.youtube.com/watch?v=hpapqEeb36k,Pumpkin,Shortcrust Pastry,Plain Flour,Caster Sugar,Salt,Nutmeg,Cinnamon,Eggs,Butter,Milk,Icing Sugar,,,,,,,,,,750g,350g,Dusting,140g,½ tsp,½ tsp,1 tsp ,2 Beaten ,25g,175g,1 tblsp ,,,,,,,,,,https://www.bbcgoodfood.com/recipes/1742633/pumpkin-pie
52901,Rock Cakes,,Dessert,British,https://www.themealdb.com/images/media/meals/tqrrsq1511723764.jpg,https://www.youtube.com/watch?v=tY3taZO3Aro,Self-raising Flour,Caster Sugar,Baking Powder,Butter,Dried Fruit,Eggs,Milk,Vanilla Extract,,,,,,,,,,,,,225g,75g,1 tsp ,125g,150g,1,1 tbs,2 tsp,,,,,,,,,,,,,https://www.bbc.co.uk/food/recipes/rock_cakes_03094
52786,Rocky Road Fudge,,Dessert,American,https://www.themealdb.com/images/media/meals/vtxyxv1483567157.jpg,https://www.youtube.com/watch?v=N1aJ3nEYXyg,Miniature Marshmallows,Chocolate Chips,Peanut Butter,Vanilla Extract,Peanuts,,,,,,,,,,,,,,,,2 cups,3 cups,½ cup,1 tsp,1 ¼ cups,,,,,,,,,,,,,,,,http://tiphero.com/rocky-road-fudge/
52833,Salted Caramel Cheescake,,Dessert,American,https://www.themealdb.com/images/media/meals/xqrwyr1511133646.jpg,https://www.youtube.com/watch?v=q5dQp3qpmI4,Digestive Biscuits,Pretzels,Butter,Cream Cheese,Vanilla Extract,Icing Sugar,Caramel,Sea Salt,Double Cream,Caramel Sauce,Toffee Popcorn,Pretzels,,,,,,,,,250g,75g,135g,450g,1tsp,100g ,150g,1tsp,300ml ,drizzle,Top,Top,,,,,,,,,http://www.janespatisserie.com/2015/11/09/no-bake-salted-caramel-cheesecake/
52886,Spotted Dick,,Dessert,British,https://www.themealdb.com/images/media/meals/xqvyqr1511638875.jpg,https://www.youtube.com/watch?v=fu15XOF-ros,Self-raising Flour,Salt,Suet,Currants,Caster Sugar,Lemon,Orange,Milk,Custard,,,,,,,,,,,,250g,pinch,125g,175g,80g,Zest of 1,Zest of 1,150ml,to serve,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/2686661/spotted-dick
52883,Sticky Toffee Pudding,,Dessert,British,https://www.themealdb.com/images/media/meals/xqqqtu1511637379.jpg,https://www.youtube.com/watch?v=Wytv3bjqJII,Butter,Muscovado Sugar,Eggs,Self-raising Flour,Baking Powder,Bicarbonate Of Soda,Black Treacle,Milk,Double Cream,Butter,Muscovado Sugar,Black Treacle,Double Cream,Vanilla Extract,,,,,,,100g ,175g,2 large,225g,1 tsp ,1 tsp ,3 tbs,275ml,to serve,100g ,125g,1 tbs,300ml ,1 tsp ,,,,,,,https://www.bbc.co.uk/food/recipes/marys_sticky_toffee_41970
52793,Sticky Toffee Pudding Ultimate,,Dessert,British,https://www.themealdb.com/images/media/meals/xrptpq1483909204.jpg,https://www.youtube.com/watch?v=hKq6RbxJHBo,Medjool dates,water,vanilla extract,self-raising flour,bicarbonate of soda,eggs,butter,demerara sugar,black treacle,milk,ice cream,muscovado sugar,butter,double cream,black treacle,,,,,,225g,175ml Boiling,1 tsp,175g,1 tsp,2,85g,140g,2 tbsp,100ml,1 scoop,175g,50g,225ml,1 tbsp,,,,,,https://www.youtube.com/watch?v=Wytv3bjqJII
52931,Sugar Pie,,Dessert,Canadian,https://www.themealdb.com/images/media/meals/yrstur1511816601.jpg,https://www.youtube.com/watch?v=uVQ66jiL-Dc,Brown Sugar,Butter,Eggs,Vanilla Extract,Salt,Plain Flour,Milk,,,,,,,,,,,,,,2 cups ,¼ cup,2,1 tsp ,1 tsp ,½ cup ,1 1/2 cups ,,,,,,,,,,,,,,http://allrecipes.com/recipe/213595/miraculous-canadian-sugar-pie/
52889,Summer Pudding,,Dessert,British,https://www.themealdb.com/images/media/meals/rsqwus1511640214.jpg,https://www.youtube.com/watch?v=akJIO6UhXtA,Strawberries,Blackberries,Redcurrants,Raspberries,Caster Sugar,Bread,,,,,,,,,,,,,,,300g,250g,100g ,500g,175g,7 Slices,,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/4516/summer-pudding
52909,Tarte Tatin,,Dessert,French,https://www.themealdb.com/images/media/meals/ryspuw1511786688.jpg,https://www.youtube.com/watch?v=8xDM8U6h9Pw,Puff Pastry,Plain Flour,Braeburn Apples,Caster Sugar,Butter,Creme Fraiche,,,,,,,,,,,,,,,300g,Dusting,6,100g ,85g,to serve,,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/tarte-tatin
52929,Timbits,,Dessert,Canadian,https://www.themealdb.com/images/media/meals/txsupu1511815755.jpg,https://www.youtube.com/watch?v=fFLn1h80AGQ,Flour,Sugar,Baking Powder,Salt,Egg,Milk,Oil,Oil,Icing Sugar,,,,,,,,,,,,2 cups ,1/3 cup,3 tsp,½ tsp,1 beaten,¾ cup,3 tbs,for frying,garnish,,,,,,,,,,,,http://www.geniuskitchen.com/recipe/drop-doughnuts-133877
52892,Treacle Tart,,Dessert,British,https://www.themealdb.com/images/media/meals/wprvrw1511641295.jpg,https://www.youtube.com/watch?v=YMmgKCNcqwI,Plain Flour,Butter,Golden Syrup,Breadcrumbs,Lemons,Eggs,,,,,,,,,,,,,,,250g,135g,400g,150g,Zest of 2,1 beaten,,,,,,,,,,,,,,,https://www.bbc.co.uk/food/recipes/mary_berrys_treacle_tart_28524
52970,Tunisian Orange Cake,,Dessert,Tunisian,https://www.themealdb.com/images/media/meals/y4jpgq1560459207.jpg,https://www.youtube.com/watch?v=rCUxg866Ea4,Orange,Caster Sugar,Olive Oil,Flour,Baking Powder,Eggs,Vanilla Extract,,,,,,,,,,,,,,1 large,300g,75 ml ,280g,1 tbs,4 large,2 tsp, , , , , , , , , , , , , ,http://allrecipes.co.uk/recipe/16067/tunisian-orange-cake.aspx
52917,White chocolate creme brulee,,Dessert,French,https://www.themealdb.com/images/media/meals/uryqru1511798039.jpg,https://www.youtube.com/watch?v=LmJ0lsPLHDc,Double Cream,White Chocolate Chips,Vanilla,Egg Yolks,Caster Sugar,Caster Sugar,,,,,,,,,,,,,,,568ml,100g ,Pod of,6,2 tbs,Top,,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/2540/white-chocolate-crme-brle
